finalWorth,age,industries,gender,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country
8700,52,Manufacturing,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
8700,79,Fashion & Retail,M,112.85,1.4,"$3,845,630,030,824",70.2,104
8600,71,Finance & Investments,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
8600,67,Finance & Investments,M,114.24,1.6,"$206,928,765,544",82,100
8600,68,Food & Beverage,M,180.44,7.7,"$2,611,000,000,000",28.1,113
8600,79,Technology,M,112.85,1.4,"$3,845,630,030,824",70.2,104
8600,75,Food & Beverage,M,99.55,0.4,"$703,082,435,360",59.6,105.2
8600,73,Real Estate,M,129.61,2.5,"$376,795,508,680",35.5,107.5
8600,67,Technology,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
8500,47,Finance & Investments,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
8500,74,Fashion & Retail,F,117.24,7.5,"$21,427,700,000,000",88.2,101.8
8500,55,Manufacturing,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
8400,75,Media & Entertainment,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
8400,77,Metals & Mining,M,158.93,4.1,"$351,431,649,241",22.4,100.9
8400,72,Media & Entertainment,F,119.8,1.6,"$1,392,680,589,329",113.1,100.3
8400,77,Metals & Mining,F,125.08,2.9,"$19,910,000,000,000",50.6,100.2
8300,75,Fashion & Retail,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
8200,61,Energy,M,180.75,4.5,"$1,699,876,578,871",81.9,102.6
8200,62,Diversified,M,267.51,11.4,"$448,120,428,859",10.2,84.7
8200,79,Finance & Investments,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
8200,91,Real Estate,M,180.44,7.7,"$2,611,000,000,000",28.1,113
8200,68,Real Estate,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
8200,41,Real Estate,F,125.08,2.9,"$19,910,000,000,000",50.6,100.2
8100,69,Diversified,M,110.05,1.1,"$2,715,518,274,227",65.6,102.5
8100,66,Diversified,M,110.05,1.1,"$2,715,518,274,227",65.6,102.5
8100,65,Food & Beverage,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
8100,58,Diversified,F,110.05,1.1,"$2,715,518,274,227",65.6,102.5
8100,54,Gambling & Casinos,M,99.55,0.4,"$703,082,435,360",59.6,105.2
8000,39,Technology,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
8000,66,Energy,M,180.75,4.5,"$1,699,876,578,871",81.9,102.6
8000,93,Fashion & Retail,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
8000,85,Finance & Investments,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
8000,60,Finance & Investments,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
8000,58,Metals & Mining,M,116.48,2.8,"$246,489,245,495",64.1,100.7
7900,52,Finance & Investments,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
7900,52,Fashion & Retail,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
7900,71,Fashion & Retail,F,117.24,7.5,"$21,427,700,000,000",88.2,101.8
7900,54,Technology,M,115.16,0.4,"$2,029,000,000,000",94.3,98.1
7900,54,Finance & Investments,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
7900,72,Finance & Investments,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
7900,57,Metals & Mining,M,180.75,4.5,"$1,699,876,578,871",81.9,102.6
7900,50,Diversified,M,118.06,1.5,"$446,314,739,528",85.1,103.1
7800,73,Telecom,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
7800,66,Manufacturing,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
7800,53,Technology,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
7800,58,Manufacturing,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
7700,55,Food & Beverage,M,110.05,1.1,"$2,715,518,274,227",65.6,102.5
7700,42,Food & Beverage,F,110.05,1.1,"$2,715,518,274,227",65.6,102.5
7700,80,Media & Entertainment,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
7700,54,Technology,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
7700,71,Service,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
7700,68,Technology,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
7700,68,Healthcare,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
7700,61,Real Estate,M,120.27,2.2,"$403,336,363,636",82,100.3
7600,54,Energy,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
7600,89,Healthcare,M,180.44,7.7,"$2,611,000,000,000",28.1,113
7600,67,Manufacturing,M,119.62,1.7,"$2,827,113,184,696",60,101.2
7600,41,Technology,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
7600,64,Real Estate,M,114.41,0.6,"$372,062,527,489",84.8,100.6
7600,66,Manufacturing,M,119.62,1.7,"$2,827,113,184,696",60,101.2
7600,85,Real Estate,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
7600,62,Healthcare,F,125.08,2.9,"$19,910,000,000,000",50.6,100.2
7500,80,Sports,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
7500,85,Fashion & Retail,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
7500,59,Fashion & Retail,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
7500,68,Finance & Investments,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
7500,79,Finance & Investments,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
7500,52,Food & Beverage,M,114.41,0.6,"$372,062,527,489",84.8,100.6
7400,80,Technology,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
7400,70,Manufacturing,M,119.62,1.7,"$2,827,113,184,696",60,101.2
7400,59,Fashion & Retail,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
7400,71,Real Estate,M,114.41,0.6,"$372,062,527,489",84.8,100.6
7400,72,Manufacturing,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
7400,62,Construction & Engineering,M,288.57,9.2,"$303,175,127,598",35.2,106.3
7400,81,Food & Beverage,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
7300,91,Manufacturing,M,180.44,7.7,"$2,611,000,000,000",28.1,113
7300,59,Metals & Mining,M,180.75,4.5,"$1,699,876,578,871",81.9,102.6
7300,50,Fashion & Retail,M,110.35,0.8,"$348,078,018,464",80.6,101.3
7300,63,Logistics,M,129.61,2.5,"$376,795,508,680",35.5,107.5
7300,55,Technology,F,125.08,2.9,"$19,910,000,000,000",50.6,100.2
7200,65,Finance & Investments,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
7200,68,Real Estate,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
7200,79,Finance & Investments,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
7200,78,Energy,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
7200,41,Finance & Investments,M,114.52,-1.9,"$421,142,267,938",36.8,108.4
7200,61,Fashion & Retail,M,105.48,0.5,"$5,081,769,542,380",63.2,98.8
7200,77,Food & Beverage,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
7100,79,Technology,F,117.24,7.5,"$21,427,700,000,000",88.2,101.8
7100,76,Gambling & Casinos,M,118.06,1.5,"$446,314,739,528",85.1,103.1
7100,61,Service,F,117.24,7.5,"$21,427,700,000,000",88.2,101.8
7100,66,Manufacturing,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
7100,72,Healthcare,M,99.55,0.4,"$703,082,435,360",59.6,105.2
7100,94,Finance & Investments,M,114.41,0.6,"$372,062,527,489",84.8,100.6
7100,71,Manufacturing,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
7000,58,Technology,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
7000,37,Media & Entertainment,M,119.62,1.7,"$2,827,113,184,696",60,101.2
7000,41,Media & Entertainment,M,119.62,1.7,"$2,827,113,184,696",60,101.2
7000,77,Technology,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
7000,80,Manufacturing,M,180.44,7.7,"$2,611,000,000,000",28.1,113
7000,83,Fashion & Retail,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
7000,55,Diversified,F,180.44,7.7,"$2,611,000,000,000",28.1,113
7000,58,Diversified,M,180.44,7.7,"$2,611,000,000,000",28.1,113
7000,69,Food & Beverage,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
7000,67,Food & Beverage,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
7000,71,Food & Beverage,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
6900,62,Diversified,M,141.54,3.6,"$1,258,286,717,125",40.2,105.8
6900,87,Diversified,F,117.24,7.5,"$21,427,700,000,000",88.2,101.8
6900,89,Food & Beverage,F,117.24,7.5,"$21,427,700,000,000",88.2,101.8
6900,55,Finance & Investments,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
6900,58,Technology,M,125.08,2.9,"$19,910,000,000,000",50.6,100.2
6900,80,Real Estate,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
6900,54,Fashion & Retail,F,110.96,0.7,"$1,394,116,310,769",88.9,102.7
6900,68,Healthcare,F,117.24,7.5,"$21,427,700,000,000",88.2,101.8
6800,59,Energy,F,117.24,7.5,"$21,427,700,000,000",88.2,101.8
6800,86,Diversified,M,110.62,0.6,"$2,001,244,392,042",61.9,101.9
6800,55,Gambling & Casinos,F,119.62,1.7,"$2,827,113,184,696",60,101.2
6800,40,Energy,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
6800,53,Energy,F,117.24,7.5,"$21,427,700,000,000",88.2,101.8
6800,58,Finance & Investments,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
6800,61,Finance & Investments,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
6800,94,Technology,M,117.24,7.5,"$21,427,700,000,000",88.2,101.8
